motusRecvID,recvProjectID,receiverID,recvDeployID,port,radioType,antennaType,bearing,tilt,polBearing,polTilt,heightMeters,filter,cableLengthMeters,cableType,mountDistanceMeters,mountBearing,details,elevationAngle,polarization1,polarization2,deploymentStatus
397,1,SG-5113BBBK2678,2114,2,,yagi-9,315,,,,5.8,,,,,,,,,,terminated
397,1,SG-5113BBBK2678,2114,3,,yagi-9,110,,,,5.6,,,,,,,,,,terminated
398,1,SG-5113BBBK2799,654,1,,yagi-9,10,,,,6,,7.62,,,,,,,,terminated
398,1,SG-5113BBBK2799,654,2,,yagi-9,230,,,,5.8,,7.62,,,,,,,,terminated
398,1,SG-5113BBBK2799,654,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
398,1,SG-5113BBBK2799,743,1,,yagi-9,50,,,,6,,,,,,,,,,terminated
398,1,SG-5113BBBK2799,743,2,,yagi-9,270,,,,5.8,,,,,,,,,,terminated
398,1,SG-5113BBBK2799,743,3,,yagi-9,90,,,,5.6,,,,,,,,,,terminated
398,1,SG-5113BBBK2799,3754,2,,yagi-9,270,,,,5.8,,,,,,,,,,deployed
398,1,SG-5113BBBK2799,3754,3,,yagi-9,90,,,,5.6,,,,,,,,,,deployed
399,1,SG-5113BBBK2822,684,1,,yagi-9,180,,,,6,,7.62,,,,,,,,terminated
399,1,SG-5113BBBK2822,684,2,,yagi-9,300,,,,5.8,,7.62,,,,,,,,terminated
399,1,SG-5113BBBK2822,684,3,,yagi-9,100,,,,5.6,,7.62,,,,,,,,terminated
399,1,SG-5113BBBK2822,2018,1,,yagi-9,180,,,,,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,2018,2,,yagi-9,300,,,,,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,2018,3,,yagi-9,100,,,,,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,2121,1,,yagi-9,180,,,,6,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,2121,2,,yagi-9,300,,,,5.8,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,2121,3,,yagi-9,100,,,,5.6,,,,,,,,,,terminated
399,1,SG-5113BBBK2822,3755,2,,yagi-9,300,,,,5.8,,,,,,,,,,deployed
399,1,SG-5113BBBK2822,3755,3,,yagi-9,100,,,,5.6,,,,,,,,,,deployed
400,1,SG-5113BBBK2827,644,1,,yagi-9,0,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,644,2,,yagi-9,120,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,644,3,,yagi-9,240,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2028,1,,yagi-9,0,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2028,2,,yagi-9,120,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2028,3,,yagi-9,240,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2122,1,,yagi-9,0,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2122,2,,yagi-9,120,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2122,3,,yagi-9,240,,,,,,,,,,,,,,terminated
400,1,SG-5113BBBK2827,2428,1,,yagi-5,220,,,,6,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,2428,2,,yagi-5,130,,,,5.8,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,2428,3,,yagi-5,0,,,,5.6,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,3054,1,,yagi-9,20,,,,6,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,3054,2,,yagi-9,250,,,,5.8,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,3054,3,,yagi-9,120,,,,5.6,,7.62,RG58,,,,,,,terminated
400,1,SG-5113BBBK2827,3740,2,,yagi-9,250,,,,5.8,,7.62,RG58,,,,,,,deployed
400,1,SG-5113BBBK2827,3740,3,,yagi-9,120,,,,5.6,,7.62,RG58,,,,,,,deployed
401,1,SG-5113BBBK2832,646,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,646,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,646,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,734,1,,yagi-9,13,,,,6,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,734,2,,yagi-9,180,,,,5.8,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,734,3,,yagi-9,90,,,,5.6,,7.62,,,,,,,,terminated
401,1,SG-5113BBBK2832,2006,1,,yagi-9,15,,,,,,,,,,,,,,terminated
401,1,SG-5113BBBK2832,2006,2,,yagi-9,180,,,,,,,,,,,,,,terminated
401,1,SG-5113BBBK2832,2006,3,,yagi-9,90,,,,,,,,,,,,,,terminated
401,1,SG-5113BBBK2832,2123,1,,yagi-9,15,,,,6,,,,,,,,,,deployed
401,1,SG-5113BBBK2832,2123,2,,yagi-9,180,,,,5.8,,,,,,,,,,deployed
401,1,SG-5113BBBK2832,2123,3,,yagi-9,90,,,,5.6,,,,,,,,,,deployed
402,1,SG-5113BBBK2839,676,1,,yagi-9,85,,,,6,,7.62,,,,,,,,terminated
402,1,SG-5113BBBK2839,676,2,,yagi-9,275,,,,5.8,,7.62,,,,,,,,terminated
402,1,SG-5113BBBK2839,676,3,,yagi-9,180,,,,5.6,,7.62,,,,,,,,terminated
402,1,SG-5113BBBK2839,1994,1,,yagi-9,85,,,,,,,,,,,,,,terminated
402,1,SG-5113BBBK2839,1994,2,,yagi-9,275,,,,,,,,,,,,,,terminated
