"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"13502",18323196,1441896614.9409,-66.699997,52.485901,-76.892403,3.881,0.010457,0.00064,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13503",18323197,1441896621.0369,-66.4674,50.4608,-76.942497,3.8675,0.028638,0.00028,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13504",18323198,1441896627.1332,-66.643204,72.184601,-77.463997,3.861,0.012145,0.00024,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13505",18323199,1441896633.2294,-65.340103,21.676399,-76.7229,3.8695,0.007132,4e-05,0.00012,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13506",18323200,1441896639.325,-69.083603,85.369202,-77.482201,3.88325,0.014485,0.00048,-0.00048,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13507",18323201,1441896621.0372,-71.966202,25.813999,-78.896896,4.554,0.057432,0.00138,0,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13508",18323202,1441896633.2293,-69.815598,45.951099,-78.091904,4.6025,0.038867,0.00036,0.000121,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13509",18323203,1441896639.3253,-67.761703,29.3596,-77.796402,4.58575,0.03958,0.00054,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13510",18323204,1441896645.4216,-67.694801,24.1392,-77.070602,4.56525,0.052286,4e-05,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683042,73,1,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13511",18323205,1441896645.4217,-65.088303,30.696501,-76.541397,3.86425,0.025012,0.00024,0.00012,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
